experiment_id,a1_x,a1_y,a1_z,a2_x,a2_y,a2_z
71,86777.85387490649,63577.99630243933,103036.97872305977,123346.74971641117,69223.22107670884,133677.1178513649
72,71946.90510892421,46489.414542421735,95637.8502581589,79711.12004877384,76593.31820142869,81841.89291219365
73,75799.75187824202,43049.91388402712,94219.3955617934,98136.13649615046,75190.33070761997,99981.3521376579
74,79999.88661956915,54338.49247474521,101895.09383011777,110248.00382204112,73789.45621915885,140496.042965898
75,93014.55991720707,68995.9990201345,118166.26956940515,116052.96405775522,89712.84453795086,229942.12550555376
76,82294.18634769511,46819.49479516491,98689.7875060512,102647.54024936527,77387.28999585571,134842.72161250436
77,101149.19202778119,70212.49493105245,110378.35142622766,151153.20724678852,77718.34390281569,150843.67953580635
78,71562.03950475166,56146.62399430394,94727.95176969626,111779.72087065295,86204.25727624597,135798.2063079982
79,78577.89210843384,43957.90291872187,95872.63479072718,113787.16182473292,73085.58654106695,88287.76908338848
80,76306.76013922061,52996.95040519412,89311.75008077672,111449.12205032751,65987.69491254918,147057.2027486144
81,76913.52098680215,44893.29368715001,85239.1114590546,106199.93810223778,71165.31431963277,87412.59936804856
82,100070.77477555665,59967.15657228055,103887.96266784465,145127.53660648578,82586.12455288762,115409.90005362213
83,96365.65861679957,64888.69622954594,97183.64945702838,148240.5039525703,90174.85464313737,130570.80476217653
84,119013.65378306586,85976.11818446447,114243.27539176698,222183.18211266372,139162.09868873557,153516.43410392993
85,86135.1854626296,54373.74665719694,95519.27113826819,126008.49444311361,73571.65561310781,109121.54527800404
86,79853.56350109795,53687.13299473959,107256.75557037843,108094.43715677934,89402.16042417704,152801.1565994133
87,95848.8363199943,65588.66869774913,112537.5272591948,118191.22815661383,95131.07513587255,233718.3506156501
88,107398.76090692916,73847.70777405378,109416.93987289812,176985.08877958675,105235.93382277896,182777.49147444
89,91709.03233617981,55302.48070742748,99645.97220209018,128700.93947651815,79322.91931161677,102396.46843295936
90,105773.88844035652,69641.98108418654,110665.01548923347,161520.14314130638,97598.2198303946,137937.98709518017
91,106410.90066688204,73537.91120629905,115407.64584019918,146661.9279842055,96808.20504917509,201189.0981294932
92,82626.87380701049,60722.03282998588,95573.95850555976,133583.71117349245,72632.2483731794,153039.2754133823
93,84795.67912017905,52452.54657535901,100024.14056208535,124394.25884291524,80598.09604477626,122988.67228982144
94,100904.63491793671,60919.52387655102,109654.23116766853,144853.96825229772,89776.46872552083,127868.19203428559
95,101630.64336324342,65542.35199036443,109866.01529521505,157901.9991559268,90102.72386458327,134701.85903249762
96,107488.66709164741,69360.24378325588,112728.93999706584,173226.83786428417,99554.3182037693,178706.60867319687
97,110669.70278878165,73522.80711016909,116962.7768139502,180908.5591066816,100132.62399375085,172818.24676730827
98,103188.82131267012,70292.19310830979,108574.89832590689,149486.9957555147,85846.07432523678,180591.14452135822
99,98915.6456590766,56722.54494554893,107916.58722185621,140979.97624684343,81889.39672188018,162580.23520487512
100,97763.82285364924,63374.326451344336,93097.08001078371,129559.48954044314,120727.85568651589,201214.83104789266
101,110598.44703201091,79896.1758879763,96539.98913536369,153242.25786483992,161852.122921747,82630.74805460729
102,124042.80387830459,98421.27448281643,111419.33341635021,184400.45142652513,206136.35688875997,96037.68256619968
103,106858.64050244648,76311.04604440673,120231.56477344566,153988.041933555,100664.21429953867,170911.38062995652
104,104414.10607648498,68632.81425009399,110287.59224916907,116366.42942373182,103239.05886927803,101495.70709128656
105,97681.54675116156,61373.182500567,115103.75865519729,103584.22117707023,69993.12440508022,82355.65150142107
106,88914.05774176984,53513.04933804047,94720.02613159872,89001.43239703082,73454.37317896512,94768.71275348568
107,79738.9436582628,45566.599442991916,91150.18118610467,77261.08018146509,57947.535846271974,65252.07667762828
108,116070.33488345597,99866.38819594348,151364.48564996937,140542.88805078762,138268.69030207532,153719.66461302535
109,86871.23169787358,67944.47173525841,123374.6063914745,97319.499420621,103972.14483102392,117116.4241460656
110,107441.19133060338,81776.33006627427,125920.24983430834,108253.99732589729,104400.20881979445,107942.5560938808
111,101939.09855654804,74854.91833799263,123781.83011887656,108801.85069895069,107097.06731360764,114751.07210610936
112,102214.39802627443,73250.25779040808,122003.4061242047,113167.4196952404,106121.90621394936,187255.67417002172
